DOCUMENT: 타법인 출자현황.html
SECTION: 3. 타법인출자 현황(상세)
TABLE: 3. 타법인출자 현황(상세)
META: ☞ 본문 위치로 이동

TABLE: 표
META: (기준일 : | 2025년 12월 31일 | ) | (단위 : 백만원, 천주, %)

TABLE: 표
HEADER: 법인명 | 상장 여부 | 최초취득일자 | 출자 목적 | 최초취득금액 | 기초잔액 / 수량 | 기초잔액 / 지분율 | 기초잔액 / 장부 가액 | 증가(감소) / 취득(처분) / 수량 | 증가(감소) / 취득(처분) / 금액 | 증가(감소) / 평가 손익 | 기말잔액 / 수량 | 기말잔액 / 지분율 | 기말잔액 / 장부 가액 | 최근사업연도 재무현황 / 총자산 | 최근사업연도 재무현황 / 당기 순손익
ROW: 법인명=세메스㈜ | 상장 여부=비상장 | 최초취득일자=1992.12.31 | 출자 목적=경영참여 | 최초취득금액=1,000 | 기초잔액 / 수량=2,173 | 기초잔액 / 지분율=91.5 | 기초잔액 / 장부 가액=71,906 | 증가(감소) / 취득(처분) / 수량=- | 증가(감소) / 취득(처분) / 금액=- | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=2,173 | 기말잔액 / 지분율=91.5 | 기말잔액 / 장부 가액=71,906 | 최근사업연도 재무현황 / 총자산=2,637,216 | 최근사업연도 재무현황 / 당기 순손익=210,584
ROW: 법인명=삼성전자서비스㈜ | 상장 여부=비상장 | 최초취득일자=1998.01.01 | 출자 목적=경영참여 | 최초취득금액=30,000 | 기초잔액 / 수량=6,000 | 기초잔액 / 지분율=99.3 | 기초잔액 / 장부 가액=48,121 | 증가(감소) / 취득(처분) / 수량=- | 증가(감소) / 취득(처분) / 금액=- | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=6,000 | 기말잔액 / 지분율=99.3 | 기말잔액 / 장부 가액=48,121 | 최근사업연도 재무현황 / 총자산=720,837 | 최근사업연도 재무현황 / 당기 순손익=16,082
ROW: 법인명=삼성전자판매㈜ | 상장 여부=비상장 | 최초취득일자=2000.12.21 | 출자 목적=경영참여 | 최초취득금액=3,100 | 기초잔액 / 수량=1,767 | 기초잔액 / 지분율=100.0 | 기초잔액 / 장부 가액=247,523 | 증가(감소) / 취득(처분) / 수량=- | 증가(감소) / 취득(처분) / 금액=- | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=1,767 | 기말잔액 / 지분율=100.0 | 기말잔액 / 장부 가액=247,523 | 최근사업연도 재무현황 / 총자산=1,166,771 | 최근사업연도 재무현황 / 당기 순손익=6,108
ROW: 법인명=삼성전자로지텍㈜ | 상장 여부=비상장 | 최초취득일자=1999.04.01 | 출자 목적=경영참여 | 최초취득금액=76 | 기초잔액 / 수량=1,011 | 기초잔액 / 지분율=100.0 | 기초잔액 / 장부 가액=46,669 | 증가(감소) / 취득(처분) / 수량=- | 증가(감소) / 취득(처분) / 금액=- | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=1,011 | 기말잔액 / 지분율=100.0 | 기말잔액 / 장부 가액=46,669 | 최근사업연도 재무현황 / 총자산=442,234 | 최근사업연도 재무현황 / 당기 순손익=16,463
ROW: 법인명=삼성메디슨㈜ | 상장 여부=비상장 | 최초취득일자=2011.02.16 | 출자 목적=경영참여 | 최초취득금액=286,384 | 기초잔액 / 수량=87,350 | 기초잔액 / 지분율=68.5 | 기초잔액 / 장부 가액=477,648 | 증가(감소) / 취득(처분) / 수량=- | 증가(감소) / 취득(처분) / 금액=- | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=87,350 | 기말잔액 / 지분율=68.5 | 기말잔액 / 장부 가액=477,648 | 최근사업연도 재무현황 / 총자산=857,183 | 최근사업연도 재무현황 / 당기 순손익=89,231
ROW: 법인명=㈜삼성글로벌리서치 | 상장 여부=비상장 | 최초취득일자=1991.05.01 | 출자 목적=경영참여 | 최초취득금액=320 | 기초잔액 / 수량=3,576 | 기초잔액 / 지분율=29.8 | 기초잔액 / 장부 가액=24,942 | 증가(감소) / 취득(처분) / 수량=- | 증가(감소) / 취득(처분) / 금액=- | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=3,576 | 기말잔액 / 지분율=29.8 | 기말잔액 / 장부 가액=24,942 | 최근사업연도 재무현황 / 총자산=196,490 | 최근사업연도 재무현황 / 당기 순손익=481
ROW: 법인명=삼성벤처투자㈜ | 상장 여부=비상장 | 최초취득일자=1999.11.01 | 출자 목적=경영참여 | 최초취득금액=4,900 | 기초잔액 / 수량=980 | 기초잔액 / 지분율=16.3 | 기초잔액 / 장부 가액=36,253 | 증가(감소) / 취득(처분) / 수량=- | 증가(감소) / 취득(처분) / 금액=- | 증가(감소) / 평가 손익=-1,191 | 기말잔액 / 수량=980 | 기말잔액 / 지분율=16.3 | 기말잔액 / 장부 가액=35,062 | 최근사업연도 재무현황 / 총자산=263,976 | 최근사업연도 재무현황 / 당기 순손익=31,190
ROW: 법인명=SVIC 21호 신기술투자조합 | 상장 여부=비상장 | 최초취득일자=2011.11.02 | 출자 목적=경영참여 | 최초취득금액=19,800 | 기초잔액 / 수량=0 | 기초잔액 / 지분율=99.0 | 기초잔액 / 장부 가액=99 | 증가(감소) / 취득(처분) / 수량=- | 증가(감소) / 취득(처분) / 금액=- | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=0 | 기말잔액 / 지분율=99.0 | 기말잔액 / 장부 가액=99 | 최근사업연도 재무현황 / 총자산=90,935 | 최근사업연도 재무현황 / 당기 순손익=14,984
ROW: 법인명=SVIC 22호 신기술투자조합 | 상장 여부=비상장 | 최초취득일자=2011.11.02 | 출자 목적=경영참여 | 최초취득금액=19,800 | 기초잔액 / 수량=0 | 기초잔액 / 지분율=99.0 | 기초잔액 / 장부 가액=12,375 | 증가(감소) / 취득(처분) / 수량=- | 증가(감소) / 취득(처분) / 금액=- | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=0 | 기말잔액 / 지분율=99.0 | 기말잔액 / 장부 가액=12,375 | 최근사업연도 재무현황 / 총자산=14,593 | 최근사업연도 재무현황 / 당기 순손익=-53
ROW: 법인명=SVIC 26호 신기술투자조합 | 상장 여부=비상장 | 최초취득일자=2014.11.07 | 출자 목적=경영참여 | 최초취득금액=19,800 | 기초잔액 / 수량=1 | 기초잔액 / 지분율=99.0 | 기초잔액 / 장부 가액=57,565 | 증가(감소) / 취득(처분) / 수량=- | 증가(감소) / 취득(처분) / 금액=- | 증가(감소) / 평가 손익=- | 기말잔액 / 수량=1 | 기말잔액 / 지분율=99.0 | 기말잔액 / 장부 가액=57,565 | 최근사업연도 재무현황 / 총자산=21,712 | 최근사업연도 재무현황 / 당기 순손익=-74
