DOCUMENT: 연결_자본변동표.html
SECTION: 2-4. 연결 자본변동표
TABLE: 2-4. 연결 자본변동표
META: 연결 자본변동표
META: 제 57 기 2025.01.01 부터 2025.12.31 까지
META: 제 56 기 2024.01.01 부터 2024.12.31 까지
META: 제 55 기 2023.01.01 부터 2023.12.31 까지
META: (단위 : 백만원)

TABLE: 표
HEADER: 계정과목 | 자본 / 지배기업의 소유주지분 / 자본금 | 자본 / 지배기업의 소유주지분 / 주식발행초과금 | 자본 / 지배기업의 소유주지분 / 이익잉여금 | 자본 / 지배기업의 소유주지분 / 기타자본항목 | 자본 / 지배기업의 소유주지분 / 지배기업의 소유주지분 합계 | 자본 / 비지배지분 | 자본 / 자본 합계
ROW: 계정과목=주식기준보상 (주20) | 자본 / 지배기업의 소유주지분 / 자본금=0 | 자본 / 지배기업의 소유주지분 / 주식발행초과금=0 | 자본 / 지배기업의 소유주지분 / 이익잉여금=0 | 자본 / 지배기업의 소유주지분 / 기타자본항목=0 | 자본 / 지배기업의 소유주지분 / 지배기업의 소유주지분 합계=0 | 자본 / 비지배지분=0 | 자본 / 자본 합계=0
ROW: 계정과목=기타 | 자본 / 지배기업의 소유주지분 / 자본금=0 | 자본 / 지배기업의 소유주지분 / 주식발행초과금=0 | 자본 / 지배기업의 소유주지분 / 이익잉여금=0 | 자본 / 지배기업의 소유주지분 / 기타자본항목=11,409 | 자본 / 지배기업의 소유주지분 / 지배기업의 소유주지분 합계=11,409 | 자본 / 비지배지분=0 | 자본 / 자본 합계=11,409
ROW: 계정과목=2023.12.31 (기말자본) | 자본 / 지배기업의 소유주지분 / 자본금=897,514 | 자본 / 지배기업의 소유주지분 / 주식발행초과금=4,403,893 | 자본 / 지배기업의 소유주지분 / 이익잉여금=346,652,238 | 자본 / 지배기업의 소유주지분 / 기타자본항목=1,280,130 | 자본 / 지배기업의 소유주지분 / 지배기업의 소유주지분 합계=353,233,775 | 자본 / 비지배지분=10,444,090 | 자본 / 자본 합계=363,677,865
ROW: 계정과목=2024.01.01 (기초자본) | 자본 / 지배기업의 소유주지분 / 자본금=897,514 | 자본 / 지배기업의 소유주지분 / 주식발행초과금=4,403,893 | 자본 / 지배기업의 소유주지분 / 이익잉여금=346,652,238 | 자본 / 지배기업의 소유주지분 / 기타자본항목=1,280,130 | 자본 / 지배기업의 소유주지분 / 지배기업의 소유주지분 합계=353,233,775 | 자본 / 비지배지분=10,444,090 | 자본 / 자본 합계=363,677,865
ROW: 계정과목=당기순이익 | 자본 / 지배기업의 소유주지분 / 자본금=0 | 자본 / 지배기업의 소유주지분 / 주식발행초과금=0 | 자본 / 지배기업의 소유주지분 / 이익잉여금=33,621,363 | 자본 / 지배기업의 소유주지분 / 기타자본항목=0 | 자본 / 지배기업의 소유주지분 / 지배기업의 소유주지분 합계=33,621,363 | 자본 / 비지배지분=829,988 | 자본 / 자본 합계=34,451,351
ROW: 계정과목=기타포괄손익-공정가치금융자산평가손익 (주6,20) | 자본 / 지배기업의 소유주지분 / 자본금=0 | 자본 / 지배기업의 소유주지분 / 주식발행초과금=0 | 자본 / 지배기업의 소유주지분 / 이익잉여금=49,024 | 자본 / 지배기업의 소유주지분 / 기타자본항목=1,960,896 | 자본 / 지배기업의 소유주지분 / 지배기업의 소유주지분 합계=2,009,920 | 자본 / 비지배지분=290,246 | 자본 / 자본 합계=2,300,166
ROW: 계정과목=관계기업 및 공동기업의 기타포괄손익에 대한 지분 (주9,20) | 자본 / 지배기업의 소유주지분 / 자본금=0 | 자본 / 지배기업의 소유주지분 / 주식발행초과금=0 | 자본 / 지배기업의 소유주지분 / 이익잉여금=0 | 자본 / 지배기업의 소유주지분 / 기타자본항목=239,431 | 자본 / 지배기업의 소유주지분 / 지배기업의 소유주지분 합계=239,431 | 자본 / 비지배지분=(5,685) | 자본 / 자본 합계=233,746
ROW: 계정과목=해외사업장환산외환차이 (주20) | 자본 / 지배기업의 소유주지분 / 자본금=0 | 자본 / 지배기업의 소유주지분 / 주식발행초과금=0 | 자본 / 지배기업의 소유주지분 / 이익잉여금=0 | 자본 / 지배기업의 소유주지분 / 기타자본항목=14,963,848 | 자본 / 지배기업의 소유주지분 / 지배기업의 소유주지분 합계=14,963,848 | 자본 / 비지배지분=152,251 | 자본 / 자본 합계=15,116,099
ROW: 계정과목=순확정급여부채(자산) 재측정요소 (주14,20) | 자본 / 지배기업의 소유주지분 / 자본금=0 | 자본 / 지배기업의 소유주지분 / 주식발행초과금=0 | 자본 / 지배기업의 소유주지분 / 이익잉여금=0 | 자본 / 지배기업의 소유주지분 / 기타자본항목=(747,417) | 자본 / 지배기업의 소유주지분 / 지배기업의 소유주지분 합계=(747,417) | 자본 / 비지배지분=(18,661) | 자본 / 자본 합계=(766,078)
ROW: 계정과목=현금흐름위험회피파생상품평가손익 (주20) | 자본 / 지배기업의 소유주지분 / 자본금=0 | 자본 / 지배기업의 소유주지분 / 주식발행초과금=0 | 자본 / 지배기업의 소유주지분 / 이익잉여금=0 | 자본 / 지배기업의 소유주지분 / 기타자본항목=(38,946) | 자본 / 지배기업의 소유주지분 / 지배기업의 소유주지분 합계=(38,946) | 자본 / 비지배지분=0 | 자본 / 자본 합계=(38,946)
